type,title,description,era,color,layout,theme,display_mode,media_type,year,image_url,in_rooms,in_galleries,in_vitrines
room,"Drachenfels & Burgruine","Der Drachenfels (321 m) ist das Wahrzeichen des Siebengebirges. Die Burgruine aus dem 12. Jahrhundert thront über dem Rhein und war Inspiration für Dichter wie Byron und Goethe. Heute besuchen jährlich über eine Million Menschen den Felsen.",mittelalter,#4A2C0A,,,,,,,,,
room,"Schloss Drachenburg","Das neogotische Schloss Drachenburg (1882–1884) gilt als Meisterwerk des Historismus am Rhein. Börsenmakler Stephan von Sarter ließ es in nur zwei Jahren errichten – heute Museum mit prunkvollen Innenräumen und englischem Landschaftsgarten.",historismus,#2E4057,,,,,,,,,
room,"Kloster Heisterbach & Siebengebirge","Das Zisterzienserkloster Heisterbach (1202 gegründet) war eines der bedeutendsten Klöster am Rhein. Die gotische Chorruine im Heisterbacher Tal zählt zu den eindrucksvollsten Zeugnissen mittelalterlicher Architektur in der Region.",mittelalter,#5D4037,,,,,,,,,
room,"Rhein & Königswinter","Der Rhein als Lebensader der Region: Schifffahrt, Fähren, Fischerei und Überflutungen prägten Königswinter seit Jahrhunderten. Von der Promenade blickt man auf das Siebengebirge-Panorama.",neuzeit,#1565C0,,,,,,,,,
room,"Stadtgeschichte Königswinter","Königswinter und seine Stadtteile Rhöndorf, Oberdollendorf und Niederdollendorf vereinen antike Römerstraßen, mittelalterliche Weinbaukultur und die Epoche des ersten deutschen Bundeskanzlers Konrad Adenauer.",neuzeit,#6D4C41,,,,,,,,,
room,"Natur & Geologie Siebengebirge","Das Siebengebirge – ein erloschenes Vulkangebiet aus dem Tertiär – beherbergt über 40 Gipfel, seltene Flora und Fauna sowie den weltberühmten Drachenfels-Trachyt. Als eines der ältesten Naturschutzgebiete Deutschlands steht es seit 1923 unter Schutz.",geologie,#33691E,,,,,,,,,
room,"Sagen & Legenden des Siebengebirges","Das Siebengebirge ist reich an Mythen: Von Siegfrieds Drachenkampf bis zur Rolandssage. Richard Wagner ließ sich für seinen Nibelungen-Ring inspirieren. Die Nibelungenhalle von 1913 bewahrt diese Tradition.",mittelalter,#6A1B9A,,,,,,,,,
room,"Beethoven & das Musikalische Bonn","Ludwig van Beethoven wurde am 17. Dezember 1770 in Bonn geboren. Sein Geburtshaus am Bonngässchen zählt zu den meistbesuchten Gedenkstätten Deutschlands. Bonns Musikkultur reicht weit über Beethoven hinaus.",neuzeit,#B71C1C,,,,,,,,,
room,"Bonn – Bundeshauptstadt am Rhein","Von 1949 bis 1991 war Bonn Bundeshauptstadt der Bundesrepublik Deutschland. Das Bundeshaus, das Kanzlerbungalow und das Diplomatenviertel prägten die politische Nachkriegsgeschichte. Heute ist Bonn UN-Stadt mit 19 UN-Organisationen.",neuzeit,#1A237E,,,,,,,,,
room,"Bonn Altstadt & Universität","Die Bonner Altstadt mit dem Alten Rathaus, dem Münster und dem Marktplatz ist das historische Herz der Stadt. Die 1818 gegründete Rheinische Friedrich-Wilhelms-Universität zählt zu den renommiertesten deutschen Hochschulen.",neuzeit,#4E342E,,,,,,,,,
room,"Kölner Dom & Gotik","Der Kölner Dom ist eines der bedeutendsten gotischen Bauwerke der Welt. Seit 1248 im Bau, 1880 vollendet, steht er als UNESCO-Weltkulturerbe am Rheinufer. Über sechs Millionen Besucher kommen jährlich.",mittelalter,#263238,,,,,,,,,
room,"Köln – Römer & Antike","Köln, das römische Colonia Claudia Ara Agrippinensium (CCAA), war eine der bedeutendsten Städte nördlich der Alpen. Das Romano-Germanische Museum bewahrt das Erbe der über 400-jährigen Römerherrschaft.",antike,#4A148C,,,,,,,,,
room,"Kölner Brücken & Rheinleben","Über den Kölner Rhein führen zwölf Brücken. Die Hohenzollernbrücke mit ihren Liebesschlössern ist das meistüberquerte Eisenbahnbrücke Deutschlands. Das Rheinufer prägt das Stadtbild und das Leben der Kölner.",neuzeit,#006064,,,,,,,,,
room,"Kölner Stadtkultur & Karneval","Der Kölner Karneval – »Fastelovend« – ist das größte Straßenfest Deutschlands. Die Kölner Braukultur mit dem typischen Kölsch und die weltbekannten Museen machen Köln zu einem einzigartigen Kulturzentrum.",neuzeit,#E65100,,,,,,,,,
room,"Bad Godesberg & Voreifel","Bad Godesberg, der vornehme Bonner Süden, war Diplomatenstadtteil und Kurort. Die Godesburg – einst Kurfürstliche Residenz – thront über dem Rhein. Die Voreifel mit dem Siebengebirge bildet eine einzigartige Kulturlandschaft.",neuzeit,#37474F,,,,,,,,,
vitrine,"Gipfelwelt & Aussichten","Das Siebengebirge hat über 40 Gipfel. Großer Ölberg (461 m), Petersberg, Wolkenburg und Löwenburg bieten spektakuläre Aussichten über Rheintal und Eifel.",,,,showcase,light,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Flora & Fauna im Schutzgebiet","Orchideen, Fledermäuse, Rotmilane und seltene Käferarten – das Naturschutzgebiet Siebengebirge beherbergt außergewöhnliche Biodiversität auf engstem Raum.",,,,grid,light,,,,,"Natur & Geologie Siebengebirge",,
vitrine,"Nibelungensage & Siegfried","Der Drachenfels als Schauplatz von Siegfrieds Drachenkampf. Die Nibelungenhalle (1913) widmet sich Wagners Ring mit monumentalen Wandgemälden von Hermann Hendrich.",,,,spotlight,dark,,,,,"Sagen & Legenden des Siebengebirges",,
vitrine,"Rolandssage & Rittertum","Der Rolandsbogen – Fragment einer romanischen Burgkapelle – erinnert an die Sage des treuen Paladins Karls des Großen. Die Rheinromantik machte Roland zur ikonischen Figur.",,,, showcase,dark,,,,,"Sagen & Legenden des Siebengebirges",,
vitrine,"Beethovens Geburtshaus & Jugend","Das Geburtshaus am Bonngässchen 20 ist heute das meistbesuchte Beethoven-Museum der Welt. Beethoven verbrachte seine ersten 22 Jahre in Bonn und erhielt hier seine musikalische Ausbildung.",,,,showcase,light,,,,,"Beethoven & das Musikalische Bonn",,
vitrine,"Beethovens Werke & Manuskripte","Sinfonien, Klaviersonaten, Streichquartette – Beethovens Schaffen umfasst über 700 Werke. Die Beethoven-Haus-Stiftung bewahrt Autographen, Erstdrucke und persönliche Gegenstände.",,,,grid,glass,,,,,"Beethoven & das Musikalische Bonn",,
vitrine,"Bundeshaus & Parlament","Das Bundeshaus, Sitz des Deutschen Bundestages von 1949 bis 1999, ist heute Teil des World Conference Centers Bonn. Die Plenarebene ist als historisches Denkmal erhalten.",,,,showcase,light,,,,,"Bonn – Bundeshauptstadt am Rhein",,
vitrine,"Kanzler & Regierung","Konrad Adenauer, Ludwig Erhard, Helmut Schmidt, Helmut Kohl – die Bundesrepublik wurde von Bonn aus regiert. Das Kanzlerbungalow von Sep Ruf ist architektonisches Zeugnis der Ära.",,,,grid,light,,,,,"Bonn – Bundeshauptstadt am Rhein",,
vitrine,"Bonner Münster & Kirchen","Das Bonner Münster, eine romanisch-gotische Basilika, zählt zu den bedeutendsten Kirchenbauten am Rhein. Die Stiftskirche wurde über einen Zeitraum von 500 Jahren erbaut.",,,,showcase,light,,,,,"Bonn Altstadt & Universität",,
vitrine,"Universität & Studentenleben","Die Rheinische Friedrich-Wilhelms-Universität Bonn wurde 1818 im ehemaligen Kurfürstlichen Schloss eröffnet. Berühmte Absolventen sind Karl Marx, Heinrich Heine und Friedrich Nietzsche.",,,,grid,light,,,,,"Bonn Altstadt & Universität",,
vitrine,"Domschatzkammer & Reliquien","Der Domschatz beherbergt eine der bedeutendsten Sammlungen mittelalterlicher Goldschmiedekunst: Dreikönigenschrein, Petrusreliquiar und Engelbertusschrein.",,,, showcase,dark,,,,,"Kölner Dom & Gotik",,
vitrine,"Dom-Baustile & Baugeschichte","Beginn 1248, Vollendung 1880 – der Dom überspannt sechs Jahrhunderte Baugeschichte. Gotik, Neugotik und moderne Restaurierungsschichten machen ihn zum Dokument europäischer Architektur.",,,,grid,glass,,,,,"Kölner Dom & Gotik",,
vitrine,"Römerstadt Köln – CCAA","Colonia Claudia Ara Agrippinensium – Köln wurde 50 n. Chr. zur römischen Kolonie. Das Stadtgitter, die Stadtmauer und das Praetorium zeugen von der Bedeutung als Provinzhauptstadt.",,,,showcase,glass,,,,,"Köln – Römer & Antike",,
vitrine,"Dionysus-Mosaik & Alltagskultur","Das Dionysus-Mosaik (3. Jh. n. Chr.) ist eines der schönsten Bildmosaike nördlich der Alpen. Es zeigt den Gott des Weines und des Lebens im Stil hellenistischer Vorbilder.",,,,grid,glass,,,,,"Köln – Römer & Antike",,
vitrine,"Hohenzollernbrücke & Liebesschlösser","Die 1911 erbaute Hohenzollernbrücke ist die meistbefahrene Eisenbahnbrücke Deutschlands. Über 500.000 Liebesschlösser machen sie zum romantischen Wahrzeichen der Stadt.",,,,showcase,light,,,,,"Kölner Brücken & Rheinleben",,
vitrine,"Kölner Karneval – Fastelovend","Der Kölner Karneval beginnt am 11.11. um 11:11 Uhr und endet am Aschermittwoch. Rosenmontag, Veedel-Karnevale und der Dreigestirn aus Prinz, Bauer und Jungfrau sind einzigartig.",,,,spotlight,dark,,,,,"Kölner Stadtkultur & Karneval",,
vitrine,"Kölsch & Braukultur","Kölsch ist ein obergäriges Bier, das nur in Köln gebraut werden darf. Die 24 Kölner Brauereien und zahlreichen Brauhäuser bewahren eine 700-jährige Brautradition.",,,,shelf,wood,,,,,"Kölner Stadtkultur & Karneval",,
vitrine,"Godesburg & Bad Godesberg","Die Godesburg (1210 erbaut, 1583 gesprengt) war kurfürstliche Residenz. Der erhaltene Bergfried bietet einen Ausblick über den Rhein und das Siebengebirge.",,,,showcase,dark,,,,,"Bad Godesberg & Voreifel",,
vitrine,"Diplomatenviertel & Kurstadt","Bad Godesberg war von 1949 bis 1991 der Diplomatenstadtteil Bonns. Über 140 Botschaften siedelten sich hier an. Das Grand Hotel Petersberg und zahlreiche Villen zeugen von dieser Epoche.",,,,grid,light,,,,,"Bad Godesberg & Voreifel",,
gallery,"Drachenfels Ansichten","Panoramen und Details des Drachenfels aus verschiedenen Blickwinkeln und Jahreszeiten.",,,,,slider,,,,"Drachenfels & Burgruine",,"Burgruine & Aufstieg"
gallery,"Historisches Siebengebirge","Stiche, Gemälde und Fotografien des Siebengebirges vom 18. bis frühen 20. Jahrhundert.",,,,,masonry,,,,"Drachenfels & Burgruine|Natur & Geologie Siebengebirge",,"Drachenfels in Kunst & Literatur"
gallery,"Schloss Drachenburg – Räume & Details","Innen- und Außenaufnahmen der restaurierten Prunkräume des Schlosses Drachenburg.",,,,,slider,,,,"Schloss Drachenburg",,"Prunkräume Drachenburg"
gallery,"Klosterruine alle Jahreszeiten","Die Chorruine von Heisterbach in Frühjahr, Sommer, Herbst und Winter.",,,,,masonry,,,,"Kloster Heisterbach & Siebengebirge",,"Chorruine Heisterbach"
gallery,"Heisterbacher Tal Natur","Naturaufnahmen aus dem Heisterbacher Tal: Urwald, Bäche, Lichtungen.",,,,,masonry,,,,"Kloster Heisterbach & Siebengebirge",,"Heisterbacher Tal Natur"
gallery,"Rhein bei Königswinter","Historische und zeitgenössische Fotografien des Rheins und seiner Schifffahrt.",,,,,slider,,,,"Rhein & Königswinter",,"Rheinschifffahrt & Handel"
gallery,"Königswinter historisch","Ansichtskarten und Fotografien der Königswinterer Altstadt und Ortsteile.",,,,,grid,,,,"Stadtgeschichte Königswinter",,"Altstadt Königswinter & Marktplatz"
gallery,"Adenauer – Bilder einer Epoche","Fotografien aus dem Leben und Wirken Konrad Adenauers in Rhöndorf und als Bundeskanzler.",,,,,slider,,,,"Stadtgeschichte Königswinter|Bonn – Bundeshauptstadt am Rhein",,"Rhöndorf & Konrad Adenauer"
gallery,"Siebengebirge Gipfelpanorama","Panoramaaufnahmen von Ölberg, Wolkenburg, Petersberg und Drachenfels.",,,,,masonry,,,,"Natur & Geologie Siebengebirge",,"Gipfelwelt & Aussichten"
gallery,"Siebengebirge Geologie","Gesteinsproben, Karten und geologische Dokumentationen des vulkanischen Siebengebirges.",,,,,grid,,,,"Natur & Geologie Siebengebirge",,"Drachenfelser Trachyt – Baustein Europas"
gallery,"Nibelungenhalle Kunstwerke","Wandgemälde und Kunstwerke der Nibelungenhalle nach Wagners Ring-Motiven.",,,,,slider,,,,"Sagen & Legenden des Siebengebirges",,"Nibelungensage & Siegfried"
gallery,"Beethoven Portraits & Dokumente","Gemälde, Büsten und Dokumenten aus dem Beethoven-Haus Bonn.",,,,,grid,,,,"Beethoven & das Musikalische Bonn",,"Beethovens Geburtshaus & Jugend"
gallery,"Bonn als Bundeshauptstadt","Fotografien aus der Bonner Republik 1949–1991: Regierungsgebäude, Staatsbesuche, politisches Leben.",,,,,slider,,,,"Bonn – Bundeshauptstadt am Rhein",,"Bundeshaus & Parlament"
gallery,"Bonner Altstadt Impressionen","Historische und aktuelle Aufnahmen der Bonner Innenstadt: Markt, Münster, Universität.",,,,,masonry,,,,"Bonn Altstadt & Universität",,"Bonner Münster & Kirchen"
gallery,"Kölner Dom – Innen & Außen","Architektur-Fotografie des Kölner Doms: Fassaden, Portale, Türme, Glasfenster, Schatzkammer.",,,,,slider,,,,"Kölner Dom & Gotik",,"Domschatzkammer & Reliquien"
gallery,"Römerzeit in Köln","Funde, Rekonstruktionen und Ausgrabungsfotos aus dem römischen Köln.",,,,,grid,,,,"Köln – Römer & Antike",,"Römerstadt Köln – CCAA"
gallery,"Kölner Rheinufer & Brücken","Fotoserie aller zwölf Kölner Rheinbrücken und des belebten Rheinufers.",,,,,masonry,,,,"Kölner Brücken & Rheinleben",,"Hohenzollernbrücke & Liebesschlösser"
gallery,"Karneval & Köln","Dokumentation des Kölner Karnevals: Umzüge, Kostüme, Dreigestirn, Veedel-Feiern.",,,,,slider,,,,"Kölner Stadtkultur & Karneval",,"Kölner Karneval – Fastelovend"
gallery,"Godesburg & Diplomatenquartier","Historische und aktuelle Aufnahmen der Godesburg und der Botschaftsvillen in Bad Godesberg.",,,,,slider,,,,"Bad Godesberg & Voreifel",,"Godesburg & Bad Godesberg"
object,"Drachenfels vom Rhein","Panoramafoto des Drachenfels mit Burgruine und Schloss Drachenburg vom gegenüberliegenden Rheinufer.",mittelalter,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Ansichten","Burgruine & Aufstieg"
object,"Drachenfels im Herbstlicht","Stimmungsvolle Herbstfotografie des Drachenfels mit goldenen Laubfarben im Rheintal.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Ansichten","Burgruine & Aufstieg"
object,"Burgruine Drachenfels – Nordansicht","Nahaufnahme der romanischen Mauerreste der Burgruine auf dem Gipfelplateau.",mittelalter,,,,,,image,1150,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Ansichten","Burgruine & Aufstieg"
object,"Zahnradbahn Drachenfelsbahn","Der historische Triebwagen der Drachenfelsbahn an der Bergstation – Betrieb seit 1883.",neuzeit,,,,,,image,1883,https://upload.wikimedia.org/wikipedia/commons/e/e2/Drachenfelsbahn.jpg,"Drachenfels & Burgruine","Drachenfels Ansichten","Drachenfelsbahn & Tourismus"
object,"Drachenfelsbahn – historische Aufnahme","Schwarz-Weiß-Fotografie der Zahnradbahn aus dem frühen 20. Jahrhundert mit Dampfbetrieb.",neuzeit,,,,,,image,1910,https://upload.wikimedia.org/wikipedia/commons/e/e2/Drachenfelsbahn.jpg,"Drachenfels & Burgruine","Historisches Siebengebirge","Drachenfelsbahn & Tourismus"
object,"Eselspfad Drachenfels","Der historische Eselspfad führt auf Pflastersteinen zum Gipfel und ist seit dem Mittelalter der traditionelle Aufstiegsweg.",mittelalter,,,,,,image,,,,"Drachenfels Ansichten","Burgruine & Aufstieg"
object,"Aussicht vom Drachenfels","Blick vom Burgturm über das Rheintal bis zur Eifel – eine der schönsten Aussichten Westdeutschlands.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Drachenfels Ansichten","Burgruine & Aufstieg"
object,"Lord Byron am Drachenfels (Lithografie)","Historische Lithografie nach Byrons Besuch 1816: »And thou, the loveliest, and the first, the morning star of memory…«",neuzeit,,,,,,image,1820,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Historisches Siebengebirge","Drachenfels in Kunst & Literatur"
object,"Gemälde: Drachenfels um 1830","Ölgemälde des Drachenfels in Romantiker-Tradition, Rhein im Vordergrund mit Fischerbooten.",neuzeit,,,,,,image,1830,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Historisches Siebengebirge","Drachenfels in Kunst & Literatur"
object,"Kaiserbesuch am Drachenfels 1877","Historische Fotografie des Besuchs Kaiser Wilhelms I. und seiner Entourage auf dem Drachenfels.",neuzeit,,,,,,image,1877,,"Drachenfels & Burgruine","Historisches Siebengebirge","Drachenfels in Kunst & Literatur"
object,"Drachenfels-Ansichtskarte 1900","Kolorierte Ansichtskarte aus der Blütezeit des Rhein-Tourismus mit Dampfschiff und Felspanorama.",neuzeit,,,,,,image,1900,https://upload.wikimedia.org/wikipedia/commons/d/d3/Drachenfels_Siebengebirge.JPG,"Drachenfels & Burgruine","Historisches Siebengebirge","Drachenfelsbahn & Tourismus"
object,"Drachenfels – Blick von Rhöndorf","Weinberge und Drachenfels vom Stadtteil Rhöndorf aus – Lieblingsblick Konrad Adenauers.",neuzeit,,,,,,image,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Drachenfels_%28Siebengebirge%29_from_Rh%C3%B6ndorf.jpg,"Drachenfels & Burgruine|Stadtgeschichte Königswinter","Drachenfels Ansichten",,"
object,"Schloss Drachenburg – Außenansicht","Das vollständig restaurierte Schloss Drachenburg in neugotischer Pracht.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Prunkräume Drachenburg"
object,"Rittersaal Drachenburg","Der prächtige Rittersaal mit mythologischen Wandgemälden im Erdgeschoss des Schlosses.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Prunkräume Drachenburg"
object,"Bibliothek Schloss Drachenburg","Die historistische Bibliothek mit verschnörkelten Deckengemälden und Bücherregalen.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Prunkräume Drachenburg"
object,"Buntglasfenster Schloss Drachenburg","Farbenprächtiges Buntglasfenster mit allegorischen Darstellungen aus dem Treppenhaus.",historismus,,,,,,image,1884,https://upload.wikimedia.org/wikipedia/commons/3/39/Schloss_Drachenburg.jpg,"Schloss Drachenburg","Schloss Drachenburg – Räume & Details","Prunkräume Drachenburg"
